feature,importance
flavanoids,0.182395999881876
color_intensity,0.1729304550240286
proline,0.1689981114760593
od280/od315_of_diluted_wines,0.13111091047391799
alcohol,0.10826491023155693
hue,0.07077496401755344
total_phenols,0.03818522367895258
alcalinity_of_ash,0.033631739934685476
malic_acid,0.02817673352580217
magnesium,0.02406314043806898
proanthocyanins,0.02065225029886687
ash,0.01146909212676324
nonflavanoid_phenols,0.00934646889186849
